Perfect grilled chicken (Weber rotisserie)

Stage | What to do | Why it matters

1 • Bird & balance | Pick a 1 kg chicken. Wet brine (3% salt, 2% baking soda, aromats) for 24 h. | Size sits squarely on most Weber rotisserie shafts; a dry surface lets the brine work.

3 • Optional aroma pack | Slip a lemon quarter, garlic clove & thyme sprig inside; don't over-stuff. | Gentle steam perfumes without blocking the spit.

4 • Truss & skewer | Tuck wingtips, tie ankles, slide onto spit, tighten forks, hand-spin to check balance. | Even shape = even cooking + no burnt tips.

5 • Quick exterior rub | Just before the cook, brush with 1 tbsp neutral oil mixed with 1 tsp smoked paprika, ½ tsp garlic powder, ¼ tsp black pepper. | Oil starts the Maillard party the moment the skin feels heat.

6 • Gas-grill set-up (juices edition) | ① Remove centre grate section. ② Place a double-layer foil roasting pan on the flavourizer bars right under the spit. ③ Pour in 250 ml low-salt chicken stock. ④ Centre burners OFF, outer burners MED / MED-LOW → lid temp 185-195 °C. | No flame beneath the pan = no scorched drippings; the stock keeps juices diluted and catchable. (Weber, AmazingRibs)

7 • Spin & cook | Total cook 35–45 min. After the first 20 min, check the pan; top up with hot water/stock to keep ≥5 mm liquid. | Continuous rotation self-bastes; liquid buffer stops sugar/protein residue from burning.

8 • Choose your finish | Chef's Cut: pull when breast hits 64 °C. Let it rest on the spit in open air until probe shows ≥65 °C for ≥10 min. Euro-Juicy: pull at 67 °C, rest until 70 °C is held ≥2 min. | Both levels pasteurise via time + temp; noticeably juicier than the 74-75 °C USDA one-shot rule. (ThermoWorks, FSIS)

→ Safety note | USDA still calls for 74 °C instantaneous for whole poultry. Pregnant, immunocompromised or elderly diners should stay with that guideline. If you ride the Chef's Cut, keep an accurate probe in the meat for the entire rest and carve only after the time-temperature target is met.

9 • Rest right | Off the grill, still on the spit or rack-standing. No closed-lid resting — steam will soften the skin and temps will overshoot. | Keeps skin crackly and carry-over predictable.

10 • Carve & sauce | Skim the clear fat layer from the foil pan (save as schmaltz). Pour drippings into a saucepan, deglaze pan bottom with 60 ml white wine, simmer to nappe, season. | Liquid never burnt, so you get clean, bronze jus in 90 seconds.
